algorithm,fpr,tpr,recall,precision,threshold_score
DT-FedDQL,0.0,0.019055868341273277,0.019055868341273277,1.0,0.996
DT-FedDQL,0.0,0.0194889562581204,0.0194889562581204,1.0,0.996
DT-FedDQL,0.0,0.01992204417496752,0.01992204417496752,1.0,0.996
DT-FedDQL,0.0,0.020355132091814637,0.020355132091814637,1.0,0.996
DT-FedDQL,0.0,0.02078822000866176,0.02078822000866176,1.0,0.996
DT-FedDQL,0.0,0.02122130792550888,0.02122130792550888,1.0,0.996
DT-FedDQL,0.0,0.021654395842355997,0.021654395842355997,1.0,0.996
DT-FedDQL,0.0,0.02208748375920312,0.02208748375920312,1.0,0.996
DT-FedDQL,0.0,0.02252057167605024,0.02252057167605024,1.0,0.996
DT-FedDQL,0.0,0.022953659592897357,0.022953659592897357,1.0,0.996
DT-FedDQL,0.0,0.02338674750974448,0.02338674750974448,1.0,0.996
DT-FedDQL,0.0,0.023819835426591596,0.023819835426591596,1.0,0.996
DT-FedDQL,0.0,0.024252923343438718,0.024252923343438718,1.0,0.996
DT-FedDQL,0.0,0.02468601126028584,0.02468601126028584,1.0,0.996
DT-FedDQL,0.0,0.025119099177132957,0.025119099177132957,1.0,0.996
DT-FedDQL,0.0,0.025552187093980078,0.025552187093980078,1.0,0.996
DT-FedDQL,0.0,0.0259852750108272,0.0259852750108272,1.0,0.996
DT-FedDQL,0.0,0.026418362927674317,0.026418362927674317,1.0,0.996
DT-FedDQL,0.0,0.026851450844521438,0.026851450844521438,1.0,0.996
DT-FedDQL,0.0,0.02728453876136856,0.02728453876136856,1.0,0.996
DT-FedDQL,0.0,0.027717626678215677,0.027717626678215677,1.0,0.996
DT-FedDQL,0.0,0.028150714595062798,0.028150714595062798,1.0,0.996
DT-FedDQL,0.0,0.02858380251190992,0.02858380251190992,1.0,0.996
DT-FedDQL,0.0,0.029016890428757037,0.029016890428757037,1.0,0.996
DT-FedDQL,0.0,0.029449978345604158,0.029449978345604158,1.0,0.996
DT-FedDQL,0.0,0.02988306626245128,0.02988306626245128,1.0,0.996
DT-FedDQL,0.0,0.030316154179298397,0.030316154179298397,1.0,0.996
DT-FedDQL,0.0,0.030749242096145518,0.030749242096145518,1.0,0.996
DT-FedDQL,0.0,0.031182330012992636,0.031182330012992636,1.0,0.996
DT-FedDQL,0.0,0.03161541792983976,0.03161541792983976,1.0,0.996
DT-FedDQL,0.0,0.03204850584668688,0.03204850584668688,1.0,0.996
DT-FedDQL,0.0,0.032481593763533996,0.032481593763533996,1.0,0.996
DT-FedDQL,0.0,0.03291468168038112,0.03291468168038112,1.0,0.996
DT-FedDQL,0.0,0.03334776959722824,0.03334776959722824,1.0,0.996
DT-FedDQL,0.0,0.033780857514075356,0.033780857514075356,1.0,0.996
DT-FedDQL,0.0,0.034213945430922474,0.034213945430922474,1.0,0.996
DT-FedDQL,0.0,0.0346470333477696,0.0346470333477696,1.0,0.996
DT-FedDQL,0.0,0.035080121264616716,0.035080121264616716,1.0,0.996
DT-FedDQL,0.0,0.035513209181463834,0.035513209181463834,1.0,0.996
DT-FedDQL,0.0,0.03594629709831096,0.03594629709831096,1.0,0.996
DT-FedDQL,0.0,0.036379385015158076,0.036379385015158076,1.0,0.996
DT-FedDQL,0.0,0.036812472932005194,0.036812472932005194,1.0,0.996
DT-FedDQL,0.0,0.03724556084885232,0.03724556084885232,1.0,0.996
DT-FedDQL,0.0,0.037678648765699436,0.037678648765699436,1.0,0.996
DT-FedDQL,0.0,0.038111736682546554,0.038111736682546554,1.0,0.996
DT-FedDQL,0.0,0.03854482459939368,0.03854482459939368,1.0,0.996
DT-FedDQL,0.0,0.0389779125162408,0.0389779125162408,1.0,0.996
DT-FedDQL,0.0,0.039411000433087914,0.039411000433087914,1.0,0.996
DT-FedDQL,0.0,0.03984408834993504,0.03984408834993504,1.0,0.996
DT-FedDQL,0.0,0.04027717626678216,0.04027717626678216,1.0,0.996
DT-FedDQL,0.0,0.040710264183629274,0.040710264183629274,1.0,0.996
DT-FedDQL,0.0,0.0411433521004764,0.0411433521004764,1.0,0.996
DT-FedDQL,0.0,0.04157644001732352,0.04157644001732352,1.0,0.996
DT-FedDQL,0.0,0.042009527934170635,0.042009527934170635,1.0,0.996
DT-FedDQL,0.0,0.04244261585101776,0.04244261585101776,1.0,0.996
DT-FedDQL,0.0,0.04287570376786488,0.04287570376786488,1.0,0.996
DT-FedDQL,0.0,0.043308791684711995,0.043308791684711995,1.0,0.996
DT-FedDQL,0.0,0.04374187960155912,0.04374187960155912,1.0,0.996
DT-FedDQL,0.0,0.04417496751840624,0.04417496751840624,1.0,0.996
DT-FedDQL,0.0,0.044608055435253355,0.044608055435253355,1.0,0.996
DT-FedDQL,0.0,0.04504114335210048,0.04504114335210048,1.0,0.996
DT-FedDQL,0.0,0.0454742312689476,0.0454742312689476,1.0,0.996
DT-FedDQL,0.0,0.045907319185794715,0.045907319185794715,1.0,0.996
DT-FedDQL,0.0,0.04634040710264184,0.04634040710264184,1.0,0.996
DT-FedDQL,0.0,0.04677349501948896,0.04677349501948896,1.0,0.996
DT-FedDQL,0.0,0.047206582936336075,0.047206582936336075,1.0,0.996
